position,bestmove
r1bq1rk1/4bpp1/2p1pn1p/p7/2PP3Q/P2B1N2/5PPP/R1B1K2R w KQ - 0 15,c1h6
r5k1/2nnpp1p/3p1bp1/1PpP1PN1/4PB2/1P1B4/1q4PP/3Q1R1K w - - 7 24,g5h7
r2q3r/p2n2k1/3P2p1/1p1Qp1pB/2p1P2P/2P4R/P5P1/R5K1 w - - 3 30,h5g6
rn2r1kb/2q4p/2p1pppP/1pPpP3/p2P1P2/P1PQ4/2BB1P2/1R2K1R1 w - - 1 26,g1g6
1rq4r/1p2bpk1/2p1p3/pP1pP1Pp/P2P1P1n/2PNB3/4Q2K/R5R1 w - - 0 36,f4f5
2kr2br/pp2qpp1/2p2n1p/4NP2/Pn1PPQ2/RBN4P/1P6/5RK1 w - - 2 23,c3b5
1r1r2k1/1pqnbppp/8/p1pR4/5N2/P3P1PP/1PQ2PB1/5RK1 w - - 2 24,c2h7
2bq2k1/p1p3pp/6r1/2QPp2r/2P2p2/3P1N2/PP3PPP/R1B2R1K b - - 0 12,g6g2
3rrk2/p4pb1/2b1p1p1/q1ppP3/5P1Q/1BN5/PPP3P1/2KR3R w - - 0 1,h4f6
r1b1k2r/pp4pp/2p2q2/3p4/3nP3/4KPb1/PPP1N3/R1BQ1BNR b kq - 1 14,d4f5
r1bq1rk1/pp2nppp/1bp2n2/4N3/4P3/2PB3P/PP3PP1/RNBQ1RK1 b - - 0 11,c8h3
2kr2nr/1pp1qp1p/pn1pp1p1/8/3PPP2/2NB3P/PPP1Q1P1/2KR3R w - - 5 15,d3a6
r2q1rk1/1b1n1ppp/p1n1p3/3pPP2/1bpP4/2N1BN2/1PP1B1PP/1K1RQ2R w - - 0 16,f5f6
2kN1b2/p1pp3p/b1n5/1p1n4/2PPP1pq/5p2/PP4PP/RNBQ1K1R b - - 0 13,c6e5
r1b1kb1r/p2nqpp1/2p2n2/3p2Np/PpBBP3/2N2Q1P/1PP2P2/R3K1R1 w Qkq - 0 14,e1c1
r1bqr1k1/pppnppb1/8/3N1Qp1/2Bp2P1/8/PPP2P2/2KR2NR w - - 2 16,h1h8
1k3b1r/1p1rpp2/1Bpnqp2/2R4p/P2Pb3/5N2/1P2BPPP/4QRK1 w - - 0 21,d4d5
1k3b1r/1p1rpp2/1Bpn1p2/2Rb3p/P2Nq3/8/1P2BPPP/4QRK1 w - - 2 23,c5d5
k4r2/p3p2r/1pbq1np1/3p2Q1/PR2pP2/2P1B2P/2P1B1P1/1R4K1 w - - 1 26,e3b6
r3k2r/ppqn1pp1/2pbpnp1/8/2BP2P1/5N1P/PPPBQP2/2KR3R w kq - 2 15,c4e6
rn1q1rk1/3nbpp1/b1p1p2p/4P3/pp1PN2P/P3BN2/1PQ2PP1/R3KB1R w KQ - 0 15,e3h6
r1bqkb1r/pppp1ppp/8/n3P3/2BP4/2N1pN2/PPP3PP/R2QK2R w KQkq - 2 9,c4f7
2bk2rq/2p1pprp/2p1n3/p2pPQ2/N2P4/4RN1P/PPP2RP1/6K1 w - - 5 24,e3b3
r1r5/p2nqpkp/2pppnp1/8/2pPP2B/P6Q/1PB2P1P/2KR2R1 w - - 0 20,e4e5
1rbq1rk1/ppp2pb1/2nppnp1/6B1/3PP2P/2N2p2/PPPQN3/2KR1B1R w - - 0 12,h4h5
2bk1br1/p2p2pp/n1pP1p2/q2NQ1B1/2p1p3/Pr4P1/1PK1PP1P/3R1BNR w - - 1 15,g1h3
r1brn1k1/2qnbppp/p2pp3/1p4P1/4P2P/1NN1BP2/PPPQ4/2KR1B1R w - - 2 15,g5g6
r3kb1r/1b1n1ppp/p3pn2/1pq3B1/8/1BN2N2/PPP1QPPP/2KR3R w kq - 0 12,b3e6
q4r2/3nbpk1/1Rbp2p1/r3p1N1/4P3/4QB1P/2P2PPK/1RB5 w - - 6 32,f3h5
3r1rk1/p3b1pp/nqp1p3/1p1n2p1/3P3P/P2B1Q2/1PPB1PP1/2KR3R w - - 0 19,d3h7
3r1r1k/p3b1pB/nqp1p3/1p1n2p1/3P3P/P4Q2/1PPB1PP1/2KR3R w - - 1 20,h4g5
1r1r2k1/1p2qp1p/6p1/p1QB1b2/5Pn1/N1R1P1P1/PP5P/R1B3K1 b - - 4 23,e7e4
r2q1rk1/pbp1n1p1/1p1p4/2nPppp1/1PP1PP1P/2N3P1/P2Q4/2KR1B1R w - - 0 15,h4g5
1n1r1bk1/rb3pp1/1q5p/1Bpp3Q/P4N2/7R/1P1B1PPP/4R1K1 w - - 0 21,f4e6
r1br4/p1qn2k1/3Nppp1/1pp4p/2P4P/2Q2P2/PP3P2/2KR1BR1 w - - 0 20,g1g6
2brq1k1/p3bpp1/1p2pn1B/4N3/1P6/P2B1P1P/3Q1P2/3R2K1 w - - 0 21,h6g7
rn1q1rk1/4b1p1/b1p1pn1p/p7/1p1PN2P/P4N2/1PQ1BPP1/R1B1K2R w KQ - 0 16,f3g5
r2q1rk1/3nb1p1/b1p1pn1p/p7/1p1PN2P/P4N2/1PQ1BPP1/R1B1K2R w KQ - 6 19,e4g5
r2q1rk1/3nbpp1/n1p1p2p/p3P3/1p1PN2P/P4N2/1PQ2PP1/R1B1K2R w KQ - 0 15,c1h6
1nbqr3/1pprbkpp/3p1pp1/1P6/1PR1QPP1/1PR1PB2/3P2P1/3K3N w - - 0 0,e4e6
1r1qkb1r/3n1pp1/p3p3/2p5/Q1Pp1Pnp/3P2PP/PP2P1B1/RNB2RK1 b k - 0 16,h4g3
r1bq2k1/2nnp1bp/p2pprp1/2p3N1/2PP1N2/3B3P/P4PP1/R1BQR1K1 w - - 3 20,g5h7
4q1rk/r3p1bp/2b1Pp2/pp1p1P2/3PnB2/P2B3P/1PP1Q1R1/6RK w - - 7 25,g2g6
1k1r3r/pP4pp/6n1/q3pp2/2B2nb1/P1PP1N2/2PB1PP1/R2Q1K1R b - - 2 17,f4g2
rn2k2r/pbpp1p1p/1p4n1/6BQ/2PPp3/q1PB2P1/P3N3/R3K2R w KQkq - 0 15,e1g1
r1q1rk2/6pQ/2pPpp1p/p7/2b5/5NP1/4PPBP/n4RK1 w - - 0 27,f3e5
r1bqr2k/5pp1/pp3N1p/3pPn1Q/P2n1P2/2pB2R1/6PP/R1B3K1 w - - 6 22,g3h3
rqb1kb1r/pp1p1ppp/4p1n1/1B1N3Q/1B1p4/8/PPP2PPP/R3R1K1 w kq - 2 14,e1e6
1kr3n1/p3q3/P1p1bp2/Bpp1p2r/2N1Pbpp/3P4/1PP1QPPP/1R2RNK1 w - - 2 21,b2b4
k1r5/p3qn2/P1p1bp2/BPP1p2r/4Pbp1/3PN3/4QPpP/1R2RNK1 w - - 0 26,e2b2
r1b2r1k/pp2q1bp/1np2n2/4p3/2P1BP2/2N1B2P/PP1QN3/2KR2R1 w - - 4 18,g1g7
r2q1b1r/pp2pk2/3pb2p/nBp2p1P/5Pp1/2N3PN/PPQ5/R1B1K2R w KQ - 2 19,h3g5
r2q1bkr/1p2p3/p2pb1P1/nBp2p1P/6p1/2N3P1/PPQ5/R1B1K2R w KQ - 1 22,h5h6
r4r2/5pkp/pqp1pNp1/1p1nP3/5Q2/4P3/PPP3PP/2KR3R w - - 4 18,d1d5
k2rb1r1/p1q2p2/Pppnp2p/4Np1P/3P4/4P1P1/1Q2BP2/1RR2K2 w - - 0 28,c1c6
k2r2r1/p3q3/PpRnpp1p/4Np1P/3P4/4P1P1/1Q2BP2/5K2 w - - 1 31,b2c1
1k1rr3/p2q2p1/1p5p/2pPn1b1/2P2Np1/PR6/KPQ3P1/3R2B1 w - - 2 32,g1c5
1r3rk1/5p2/2pNp1p1/qbP1P2p/p2Q1RnP/P5P1/2B5/3KR3 w - - 4 35,f4g4
1r3rk1/5p2/2pNp1p1/qbP1P2p/p2QRRnP/P5P1/2B5/2K5 w - - 4 35,d6f7
rq3rk1/1b3pp1/3pp2p/p1b1P3/PnP2R2/5NP1/4QP1P/1BB1R1K1 w - - 0 26,f4f6
r4rk1/1b1p1p2/4p1pp/p1q1P1bQ/PnPN2R1/6P1/1B3P1P/1B2R1K1 w - - 0 28,g4g5
qrb1rbk1/3n1p2/3p1Pp1/1p2p1P1/1P1BP3/2N3R1/2P1Q3/2KR1B2 w - - 0 24,d4a7
4k2r/pp2b3/2p4p/4p3/4N3/P1RqpPPb/1P5P/4Q1KR b k - 1 1,d3e4
rn3rk1/pbppq1pp/1p2pb2/4N2Q/3PN3/3B4/PPP2PPP/R3K2R w KQ - 7 11,h5h7
2r1nbk1/3q1p2/b1n1p1p1/p2pP1P1/N2P1N2/1r2BQ1B/5P1K/R6R w - - 0 39,h3e6
r1b2rk1/pp1n2pp/1q2pp2/3pPP2/3P4/P1Pp3Q/2PBNP1P/R3K2R w KQ - 0 15,d2h6
r2q1rk1/5pp1/p1p1bn1p/3n3N/P1pP4/R7/4BQPP/2B2RK1 w - - 0 20,h5g7
1rq1kbr1/3b1pp1/p2ppB1p/4n2P/1P1NP3/2N3Q1/2P2PP1/R3R1K1 w - - 4 21,c3d5
r4rk1/1pq1ppb1/p3bnp1/8/3B2pP/2NBQP2/PPP5/2KR3R w - - 0 18,h4h5
br3rk1/3qppbp/3p1n2/1p6/2p4Q/1P1B1N1P/2PB2P1/4RR1K w - - 0 24,e1e7
k1r1n3/Pb4b1/6p1/4p3/4P1p1/q3B3/N1Q2P1r/K2R1BR1 w - - 1 34,c2c8
5rk1/4r1b1/1R1p1qp1/2nPN2p/p1P1pP2/Pn2B1NR/4Q2P/7K w - - 14 44,e5g6
r1bn1r2/2q1bpk1/pn1p2pp/1p1Pp3/2p1P1P1/2P1NN1P/PPBBQP1K/R3R3 w - - 0 20,e3f5
4n3/2qb1k1p/p3pp1P/1r1p4/Np1BP1R1/1B6/PPP4P/1K1R4 w - - 1 25,e4e5
2kr1b1r/ppp1qppp/2n2n2/3p1b2/3P1N2/2P1B3/PP1NQPPP/2KR1B1R b - - 1 11,e7a3
r2qbrk1/4nppp/2n1p3/p2pP1B1/1p1P4/2NB2PP/PP2QP2/1K1R3R w - - 1 6,c3e4
r3kb1r/pp1n1pp1/1qppp2p/4P1N1/3P1P2/2P5/P1P1Q1PP/R1B2RK1 w kq - 0 12,g5f7
rn3rk1/pbq2ppp/1ppbp3/4N3/2PPB3/6P1/PP3P1P/R1BQR1K1 w - - 3 13,e4h7
3rr1k1/1bqnbp1p/p1p1pn1B/1p2Np2/2PP4/P1NQ2P1/1PB2R1P/5RK1 w - - 0 20,e5f7
r1b1q2r/1k1nbp2/1P2p3/p2pP1N1/Q4P1p/2P1B1N1/PP6/2KR3R w - - 0 1,g3e4
1k1r2nr/1p2q3/1B1p1pp1/1N1P3p/QpP1P2P/5pP1/P2b2b1/4R1K1 w - - 2 23,c4c5
r5k1/1q2npp1/1bn1p2p/1p1pP2P/1P1P2P1/3NBN2/3Q1PK1/R7 w - - 6 25,e3h6
5nk1/p6n/r2Pppp1/q7/1r1P2PP/1pN5/BP3Q2/KRN2R2 b - - 1 33,b4a4
r1b3k1/4n1q1/1p2p1pR/p1ppPp2/3P1NpQ/2P5/PPB5/2K5 w - - 8 30,c2f5
r3r1k1/1b3pp1/1q2pn1p/pN6/1b1P4/3B4/1P1BQ1PP/R4R1K w - - 0 24,f1f6
r1q1nrk1/2nb1pbp/3pp1p1/2pPP1N1/p1P2P2/R2B1N1P/6P1/2BQR1K1 w - - 0 23,g5h7
1r2r1k1/p4ppp/3p4/qpp1nPP1/b3P2Q/P1pPB3/2P2RBP/5RK1 w - - 2 22,f2f3
r1b1k2r/1p1nbp2/pq2p1p1/3pP2p/7P/2N2NQ1/PPP1BPP1/3RR1K1 w q - 3 19,d1d5
2r1r1k1/p6p/b1qPpnp1/p1n2p2/2PQ1P2/B1PB2N1/6PP/1R2R1K1 w - - 0 22,g3f5
rnbq1rk1/pp4pp/2Pb1n2/5p2/3Pp3/2N1P3/PPB1NPPP/R1BQ1RK1 b - - 0 11,d6h2
2r1r1kb/pp1b3p/3n1Pp1/2BP4/qn3NP1/7P/3Q1RB1/2R3K1 w - - 1 24,f4g6
r1bq1r1k/n1p3pp/p2p4/1p1Ppn1P/2P4N/2N2P2/PP1Q2P1/1K1R1B1R w - - 0 16,h4g6
1r3rk1/p2p1ppp/nq2p3/1N2Pn1Q/Pp1RN3/6P1/1PP2PKP/R7 w - - 1 19,e4f6
r4b1r/3qNkpp/p1pB1p2/3b4/8/2p1Q2P/P1P2PP1/3RR1K1 w - - 1 20,d1d5
1k1r3r/1pq2p1p/3nbnp1/p2p4/NQ1N4/1P4P1/2P2PBP/R4RK1 w - - 0 22,a4b6
1rbqr1k1/4p2p/3p1ppB/1NnP2N1/1R2P1P1/2P5/3Q1PP1/b4BK1 w - - 0 25,e4e5
r1q2rk1/1b2bppp/1p2p3/pNnpP3/2P2B2/3B4/PP2QPPP/2R1R1K1 w - - 1 16,d3h7
rnbq1rk1/pp2npb1/3p3p/2pPp1pP/2P1P3/2NB1N2/PP3PP1/R1BQK2R w KQ - 0 10,f3g5
1r2bq1b/7k/p2P1p1P/2pnpP2/P1p1N3/6RQ/1PB5/1K6 w - - 1 33,e4g5
r7/1b2k3/3qN1pp/1P1ppP1B/2n2P1P/4P3/5K2/1Q2R3 w - - 0 30,f5f6
r2q1rk1/pp2bpp1/2np3p/4pPP1/2n1Q2P/2N5/PPP2P2/R1B1K2R w KQ - 0 14,g5h6
1kr4r/1p4pp/4p3/1Bn2pq1/PQ2pn2/2P1N3/1P3PPP/R2R2K1 b - - 1 25,f4h3
r1q1rbk1/p4ppp/2p4B/1p2P3/P7/2PP2Q1/6PP/1R3RK1 w - - 2 20,f1f7
r1b2q1r/pp1kn1pp/R1n1p3/1B1pP1N1/1B3p1Q/8/2P2PPP/5RK1 w - - 6 18,c2c4
r3k2r/4bpp1/4p3/qb1pPP2/nnpP4/8/PR1BN1PP/1B1QNRK1 w kq - 1 24,f5e6
r3kb1r/1p1nnp2/q1p1p1p1/p2pP1Np/N2P1PP1/P2PB2P/1P2Q1K1/2R2R2 w kq - 2 18,f4f5
r1bq3k/1p2prbp/n1p4B/3pPPQ1/1P6/p1N2N1P/P1P5/R3KR2 w Q - 1 19,e5e6
r2qk2r/2p1b1pp/p1np1n2/1p3b2/3Pp3/1B3N2/PPP2PPP/RNBQR1K1 w kq - 0 11,c1g5
1rr4k/1q1bbppp/p2ppnP1/7P/4P3/2P1BP1B/NP1Q3R/1K4R1 w - - 3 25,e3h6
1rr2b1k/3b1ppP/p2p1n2/q3p2P/1N2P3/2P1BP2/1P1Q2R1/1K3BR1 w - - 0 29,e3h6
r4k1r/pp1n1p2/2pNpb2/7p/3P1BpP/2PQ4/PP3Pq1/2KRR3 w - - 2 20,e1e6
r3qr1k/2p2pb1/np1P3p/pN2p2p/P1B3b1/5N2/1P3PP1/1Q1RR1K1 w - - 2 24,f3e5
r1bqr1k1/1n5p/pp3ppb/1NpP4/P1P1P3/3R1N1P/1B3QP1/5RK1 w - - 0 26,e4e5
r4r1b/pbpq3k/1pn1pp1P/3n4/3PN1Q1/2P3P1/PP1B1PB1/R3R1K1 w - - 3 19,e4c5
1n1r1rk1/1bq2p1n/pp1ppb2/8/2P1PpP1/1PN1NB1Q/PB6/3R1R1K w - - 0 23,c3d5
4br1r/1k2n2p/Np3qpP/1p1p1nQ1/p2P1P2/2RBPN2/P4K2/1R6 w - - 0 28,c3c7
k2r3r/p1p1qb1p/2P2pp1/n2P1p2/Nb6/4PB2/2Q2PPP/R2R2K1 w - - 0 24,a4b6
1k1r3r/ppp1qb1p/1n3pp1/1PbP1p2/3N4/P1N1PB2/2Q2PPP/R2R2K1 w - - 0 19,d4c6
r2q1rk1/p2npnb1/2p3p1/1p1pP3/5B2/2NB1b2/PPPQ1PP1/1K1R3R w - - 0 16,d3g6
r1r3k1/p2q1p1p/2pB3b/2PpPp2/3P4/3Q4/5P1P/R3R1K1 w - - 0 25,e5e6
r1b3k1/2q3p1/2p1pbB1/1pPpp2p/1P5P/4PPP1/1B6/3QK2R w K - 2 28,f3f4
rnb1nrk1/pp5p/2pq1pp1/3pb1BP/3N2P1/2N2P2/PPPQ4/2KR1B1R w - - 0 15,c3e4
rnb3kr/1p1nqpp1/p3p2p/2ppP1N1/3P1PQ1/2NB4/PPP3P1/2KR3R w - - 2 14,g5e6
3b2rk/1b3nrp/pp2q3/2pNp3/2P1N1pn/1P2Q1B1/P5P1/1B1R1RK1 w - - 6 37,f1f7
r4r1k/1p1bb2p/2pp1n2/P5pq/2PPppn1/1Q4PP/1P1BPPB1/R2NNRK1 b - - 1 20,e4e3
r1bq1rk1/pp3pn1/3pp1p1/4P1Pp/1nBP1N2/5Q2/PB3PP1/2R1K2R w K - 0 19,f4h5
2rqkb1r/1b1n1p2/p3p2p/2npPp2/Pp1N4/1N1BB3/1PP1Q1PP/R4RK1 w k - 0 18,d3f5
rnb1r1k1/pp1p4/3b1pP1/2pP2p1/3q4/3B4/PP4PP/R1BQ1R1K w - - 0 17,c1f4
rq2r1k1/1b3pb1/1p2p2p/p1p1P1P1/4N2n/BPP5/P3Q1B1/3RR1K1 w - - 0 22,e4d6
rn2k2r/p3nppp/1pp5/3pPp2/3P3q/2PQ2N1/PP4P1/R1B2RK1 w kq - 0 18,f1f5
r2r1k2/p3qpp1/1p1ppn1p/n5B1/P1PNbP2/2P3Q1/4B1PP/4RRK1 w - - 0 1,e2g4
r3nrk1/1pqbbppp/p2pp3/2n1P3/5P2/2NBBNQ1/PPP3PP/R4RK1 w - - 0 1,d3h7
2r1r1k1/q4pp1/p1n2P2/1p1p2Bp/P3P1P1/2p3P1/BpQ3K1/1R3R2 w - - 0 1,f1h1
3rr1k1/1qn2pbp/p5p1/R2pPP2/1Pn5/3B1N1P/3B2P1/3QR2K w - - 1 29,e5e6
r2qkb1r/1b1n1ppp/p2ppn2/8/1p1NP1P1/1PN5/PBP1QP1P/1K1R1B1R w kq - 0 12,c3d5
3rkb1r/1bq2p1p/p2p2p1/4n1P1/1p1NpR2/1P5B/PBP1Q2P/1K1R4 w k - 0 19,h3e6
r3kb1r/p2npppp/b4q2/2pP4/Q1B2B2/2P5/P4PPP/R3K1NR w KQkq - 0 12,c4a6
4kb1r/p2r1pp1/6qp/3Pp3/Q1p1N2P/4B3/P4PPK/7R w k - 0 24,h1b1
r2q1k1r/5b1p/1pp2pn1/p2p4/P2Pn2P/4N1P1/4BPN1/1R1Q1RK1 w - - 1 24,e2d3
r1b3k1/ppp1qr1p/6nR/n2Ppp1Q/5p2/2PB1N2/P1P2KP1/R1B5 w - - 2 18,a2a4
r1b2k2/pp3ppr/1bpP2n1/7p/5P1q/2N1BQ1P/PPPK4/3R1BR1 w - - 1 18,g1g6
r3k1nr/p2n1p2/1qp3pb/1B2p2p/4P3/1QN2P2/P4P1P/R1B2RK1 w kq - 0 16,c3d5
2n5/rkr3p1/1pn1p2p/p3P2q/Q7/RR1NB3/PP3PP1/5K2 w - - 0 36,e3b6
r2q1rk1/1p3pbp/p2p1np1/P1p2P2/3nP3/2NB1R2/1PP3PP/R1B1Q1K1 w - - 1 15,f3h3
r4rk1/1p3pb1/p2p1Bp1/q4P1p/2B1P2Q/2N4R/1P4PP/n5K1 w - - 0 20,g2g4
r1b2rk1/1p1n1ppp/1qn1p3/3pP3/2P5/1N3N2/P1B1QPPP/2R1R1K1 w - - 1 17,c2h7
r1b1r1k1/p3nppp/2p1p3/q3P1B1/2P5/P1pB4/5PPP/1R1Q1RK1 w - - 0 1,d3h7
r1b3r1/b4p1k/P1p5/Pp2p1q1/4Pp1p/2PN3P/4QPPK/RR3B2 b - - 0 1,c8h3
2b2rk1/3nbppp/1q2p3/n2pP3/p1pP1PN1/prP2N1P/2BB2PK/1R2QR2 w - - 0 1,c2h7
rn3rk1/4bpp1/1qp4p/pp1nP3/2pP1B1N/P1N2BPb/1P5P/1R1Q1R1K w - - 0 1,f4h6
2r1r3/3p1k2/p1nq1Bp1/1p1bp2p/7Q/6R1/1PPR1PP1/2K2B2 w - - 2 29,g3g6
2kq1b1r/pp1n1ppp/3p4/2pP3b/1PP4N/N6P/P4PP1/R1B1Q1K1 w - - 1 18,a1b1
3r2kr/pp2qppp/8/1b1B1P2/1Pnp1B2/6P1/P3P2P/R2Q1RK1 w - - 3 22,f5f6
1rb1nrk1/1p3p1p/p1ppnqp1/8/3NPPP1/2N5/PP1QB3/2KR3R w - - 1 20,d4f5
1r3nnr/3qk3/pp1p1p2/3Pp3/PpP1N3/1K2Q1Pp/4B3/5R1R w - - 4 28,a4a5
r3k2r/1pqbbppp/4p3/p1p1P3/PnPNNB2/8/1P3PPP/R2QR1K1 w kq - 0 15,d4f5
rnbqr1k1/pp1p1p2/3b2pp/2pP2N1/8/3B4/PP3PPP/R1BQ1RK1 w - - 0 13,f2f4
r1b2rk1/p2n1ppp/1q1p1b2/2pP4/R3B3/2B2N2/1PP2PPP/3Q1RK1 w - - 1 15,d3h7
r1bq1r2/pp1p2k1/2nP1pP1/4b1B1/2p5/3B4/PP4PP/R2Q1R1K w - - 0 20,g5h6
r1bqr1k1/1p2npb1/p2pp1p1/2p4P/3nPP2/2NBBp2/PPP4Q/2K3RR w - - 0 15,e4e5
rnq1k2r/5pbp/2p1p3/pp2N2P/4Pp2/PQ3P1B/1P5P/2KR3R w kq - 1 19,e4f7
rnq4r/5kbp/2p1p3/pp5P/4Pp2/PQ3P1B/1P5P/2KR3R w - - 0 20,h1g1
3r2k1/2b2ppp/5q2/5P1P/p2nP1Q1/PnpPB3/5RB1/1R5K w - - 0 32,e4e5
2q2bk1/5pp1/5rr1/N1p3n1/2PPp1Bp/4P2P/PPQ2P2/R2RB2K b - - 1 28,f6f3
rn3rk1/p3b1p1/bq1pp2p/2p1P3/2p4P/2N2N2/PPQ2PP1/2KR1B1R w - - 0 15,f3g5
1rb2rk1/2q2ppp/1n6/2bpp1PN/3RPP2/Pp1BB3/1P3Q1P/1K5R w - - 0 23,h5f6
4n1rr/Q2bqn2/3p1bk1/B1pPp1p1/P1P1PpP1/1RN2B2/1R3P1N/6K1 b - - 0 37,h8h2
2kr2n1/1ppbq3/3p1ppr/2nP4/p1P1P3/P1N2N1P/1P2BQP1/R4RK1 w - - 3 21,c3a4
1r3rk1/2pqbpp1/3p1n2/np1PpP2/6pP/2NBBP2/PP1Q4/2KR3R w - - 0 18,e3h6
r1bq3r/pp2pk2/1n1p4/3P1p2/3Q1P1p/1PN3PB/P6P/2R1K2R w K - 0 19,c3e4
1r2rbk1/2pbnp2/p1q3p1/2PpPpBp/3P3P/P4N2/2B3P1/R2Q1RK1 w - - 6 25,e5e6
2rq2r1/1p3nbk/2p1p2p/3bPp1p/PpBP1N1N/4R3/1P3PP1/2Q1R1K1 w - - 4 29,h4f5
k1n1rbr1/ppBb1p2/8/QBP2q2/3Pp1Np/5P1P/P4P2/3R1K1R w - - 1 31,c5c6
r1q1kb1r/2p3pp/4p3/p2nP3/4N3/P7/1PP1QPPP/2KRR3 w kq - 2 19,d1d5
1r1rnq1k/1p2bppB/pPpp3p/8/P1P2P2/4PK2/1BQ2P2/1R4R1 w - - 8 32,g1g7
r1bqk2r/ppp3pp/2n2n2/3P1pB1/1b1Pp2N/2N3P1/PP2PP1P/R2QKB1R b KQkq - 0 8,f6d5
r3k3/1q1b1p1r/2nQp1p1/1p1pP3/p2P1P2/4B1P1/P1R3B1/1R4K1 w q - 2 28,f4f5
q1n2rk1/1p1b1pp1/1b1Np2p/nP1pP3/5B2/2PB1N2/5PPP/3Q1RK1 w - - 1 19,f4h6
2r1knnr/1pq5/p2p1ppb/P1pPp1Bp/2P1PP1P/2N3P1/1P2N3/R2QK2R w KQk - 0 15,f4e5
1r1br2k/5ppp/b1qp4/2pN1PP1/p1BnP1R1/3R4/PP3Q1P/K1B5 w - - 7 32,d3h3
5n1r/p3Q1pk/1p3R1p/3Pp3/3qP3/2p3P1/PP6/K4R2 w - - 0 37,f6h6
r1bq1rk1/pp4pp/2p1p3/2P1Pp2/3pPP2/2N1n3/PPB1Q1P1/2KR2R1 w - - 1 19,e4f5
1r1q1r2/5pk1/p2p1Np1/2pBp2p/1p2P2P/2PP2P1/1P1Q4/2K2R1b w - - 0 29,f6g8
4rrk1/pp1n1ppp/n1p1p3/q5P1/1bPP1P2/2NB2B1/PP6/2RQ1RK1 w - - 7 21,d3h7
r2qr3/6kp/p2p2p1/3Qp3/4P3/PP2b3/1KP1N3/3R3R w - - 0 26,h1h7
r1b1k2r/pp4pp/n1p1pn2/4q1N1/2p5/6P1/PP1B2BP/R2Q1R1K w kq - 0 15,f1f6
2kr3r/1bp1q1p1/pp2Pp2/3p3p/3n2P1/PQN2PB1/7P/2R1R1K1 w - - 0 25,f3f6
