position,bestmove
2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,"['h6h8',]"
5rk1/1p2p2p/p2p4/2pPb2R/2P1P3/1P1BKPrR/8/8 w - - 5 31,"['h3g3',]"
r1b2rk1/p3pp2/2B5/2Qpq3/3N2pp/4b3/2P2PPP/1R2K2R w K - 0 24,"['f2e3',]"
3r1rk1/1p4Rp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 b - - 0 27,"['g8g7',]"
r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,"['a4a8',]"
2rr4/5pk1/p1Q1N1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK b - - 0 25,"['f7e6',]"
r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1 w - - 1 33,"['g3g6',]"
r1b1qrk1/pp1n1pbp/2pp1np1/4P3/2P2B2/2NBPN1P/PP3PP1/R2Q1RK1 b - - 0 10,"['d6e5',]"
3rk2r/2qn2p1/p1Q1p3/3n3p/8/8/PP4PP/5R1K w k - 0 24,"['c6e6',]"
8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8 w - - 0 37,"['c4d5',]"
8/8/4Kpp1/7p/3N2kP/8/8/8 b - - 3 62,"['g6g5',]"
1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,"['c6b4',]"
6r1/3k4/1K1P4/2P5/R7/5b2/8/8 w - - 1 69,"['a4a7',]"
r1r2k2/ppq3bQ/4p2p/4n3/3p4/2P5/PBB2PPP/4R1K1 w - - 3 25,"['b2a3',]"
6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1 w - - 0 28,"['g3b8',]"
r2q1r1k/2p3p1/pb2Q2p/1p1B1n2/8/2P5/PP1B1PPP/3RR1K1 b - - 0 20,"['b6f2',]"
r1q3k1/3nbppp/pp2p3/4B3/8/2N2Q2/PPPR1PPP/6K1 w - - 1 19,"['d2d7',]"
7r/pppk4/2pN1r2/8/3P2p1/2P5/PP2RPP1/4R1K1 b - - 0 26,"['f6h6',]"
5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4K3 b - - 0 34,"['f8e8',]"
1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 0 31,"['b4b3',]"
1r6/k2qn1b1/p1N1p1p1/2PpPpN1/2n2P1P/p4B2/1PP2Q2/1K1R3R b - - 0 32,"['e7c6',]"
6R1/p7/5k2/P7/6KP/8/8/5r2 b - - 6 53,"['f1g1',]"
1k1r3r/8/pp1n2p1/2q5/1Q6/3R2P1/PPP2P1P/3R2K1 w - - 5 30,"['b4c5',]"
r5kr/pp1qb1p1/2p4p/3pP2Q/3Pb3/2P1B3/PP4PP/R4RK1 w - - 2 18,"['h5f7',]"
3r1r1k/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K w - - 8 29,"['d2d3',]"
8/8/2p5/1p1p1k2/3P4/1PP1pK2/8/8 w - - 4 65,"['b3b4',]"
r1b4r/pp1k2p1/2nb2qp/1B1p2B1/3p3Q/8/PPP2PPP/3RR1K1 w - - 0 18,"['h4g4',]"
1r4k1/4bpp1/1rp2n1B/3p4/3P4/2N3P1/Pq2QPKP/2R1R3 b - - 0 24,"['b2e2',]"
r2qr2k/1pp2Qp1/1b4np/pP2P3/P4n2/B1N2N1P/5PP1/R3R1K1 b - - 0 20,"['d8d3',]"
1r3k2/5p1p/2p1pp2/P2n4/r3N3/P4PK1/2R2P1P/2R5 w - - 10 30,"['e4c5',]"
2r5/4ppkp/6p1/1p6/1P6/P3B3/1br2PPP/1R1R2K1 w - - 3 23,"['b1b2',]"
8/3Q1kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 b - - 8 49,"['f7f6',]"
6R1/8/Kpk1p3/1p1pP3/6P1/PPr5/8/8 w - - 0 41,"['g8c8',]"
r4rk1/ppq2ppp/2nbp1b1/3p4/3P4/2PB1N1P/PP3nP1/R1BQRNK1 w - - 0 15,"['g1f2',]"
3q1nk1/1bN2rpp/pp1P4/8/3Nn2b/8/PPP2PPP/R1BQ1RK1 b - - 2 16,"['h4f2',]"
3r2k1/1b4bR/p2P2p1/3p2N1/2p5/2P2N2/PP6/2K5 w - - 0 29,"['h7g7',]"
rk5r/1b3R2/pp2p2q/4P2p/B6B/4p2P/PP4P1/5Q1K w - - 0 28,"['f7b7',]"
1r2kb1r/3nnpp1/4p1bp/1NppP3/3P4/6N1/P2BBPPP/R3K2R w KQk - 1 18,"['b5d6',]"
4r1k1/p4p1p/1p6/6B1/3P2n1/P4Q2/1P4P1/7K b - - 0 34,"['e8e1',]"
2kr3r/p1p1Rpp1/2p2n1p/8/8/1P6/P1P2PPP/RNB3K1 b - - 0 16,"['d8d1',]"
2kr3r/p2n2pp/2pB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 w - - 0 18,"['c4a6',]"
6k1/p4p2/1p5p/4r3/P3B3/1P2KP2/2P3PP/8 b - - 1 29,"['f7f5',]"
1Q6/5ppp/8/8/8/2pk3P/3p2P1/3K4 b - - 0 52,"['c3c2',]"
2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/2R2RK1 b - - 1 31,"['e5g5',]"
r1bq3Q/1np3p1/p5k1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 w - - 0 36,"['h8h5',]"
r3k1nr/1pp2ppp/1pnp4/4p1q1/2B1P3/3P1Q1P/PPP2PP1/R4RK1 w kq - 0 12,"['f3f7',]"
7Q/2p5/1p2prp1/p4k1p/q4p1P/8/6RK/8 w - - 0 38,"['g2g5',]"
r1bqk2r/pp3ppp/4p3/3pPn2/1b1P1P2/2N5/PP4PP/R1BQKB1R w KQkq - 3 10,"['d1a4',]"
1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1 w - - 5 32,"['f1f8',]"
8/6pp/6k1/5pN1/5P2/5rPb/4R2P/6K1 b - - 1 35,"['f3f1',]"
r4r1k/6p1/b3p1nN/p1pp4/1p3P1q/3P1Q1B/PPP2PK1/R6R w - - 1 27,"['h6f7',]"
6k1/2p2ppp/pnp5/B7/2P3PP/1P2PPR1/r3b2r/3R2K1 w - - 2 30,"['d1d8',]"
8/4k3/1p1p4/rP2p1p1/P2nP1P1/3B4/3K4/R7 b - - 1 35,"['d4b3',]"
8/6pp/3Bp2k/p2pP2P/P3p1PK/8/r4b2/5R2 w - - 3 38,"['f1f2',]"
r5k1/1p1r1pp1/p3pnp1/2qN4/8/1Q5P/PP3PP1/3RR1K1 w - - 0 25,"['d5f6',]"
7k/pb1qn1rn/1p2R2Q/2p2p2/2Pp4/3B4/PP3P1P/4RK2 w - - 2 28,"['h6g7',]"
2rq1rk1/7p/1n4pb/1R2Q3/pPpP1P2/P1B5/3N2PP/2R3K1 b - - 0 31,"['f8e8',]"
6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,"['c7c8',]"
8/7k/R6p/3p4/5r2/2P1p2P/P5P1/6K1 b - - 0 40,"['e3e2',]"
r2qk1nr/ppp3pp/2n5/1B1p4/1b1Pp3/5Q1P/PP1B1PP1/RN2K2R w KQkq - 0 12,"['b5c6',]"
2r3k1/3R1ppp/p1q5/2p2Q2/P7/7P/5PP1/6K1 w - - 4 27,"['f5f7',]"
8/pp1r2kp/q2P1ppb/4N3/4P3/1Q5P/PPR2PP1/6K1 b - - 0 32,"['f6e5',]"
r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3P/1P3K2/R2Q1R2 b - - 0 23,"['c8h3',]"
r2qr1k1/p5bp/1pp1N1p1/8/2Q2p2/2P1n2P/PP3PP1/R1B1RNK1 b - - 0 18,"['e3c4',]"
3r4/4kp1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 w - - 5 26,"['f2f7',]"
6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/5PPP/2rR2K1 b - - 3 30,"['c1d1',]"
r2b2k1/1p3q1p/p2p4/3P2p1/2P1PR1r/6Q1/P2B3P/2R4K b - - 2 29,"['h4f4',]"
1r3rk1/1pqN1pbp/p1p1pnp1/2N5/3P4/1QP5/PP3PPP/3RR1K1 b - - 3 19,"['f6d7',]"
rn1qk2r/pp3ppp/3bp1N1/3p4/3Pn3/3BB3/PPP2PPP/RN1Q1RK1 b kq - 0 10,"['d6h2',]"
8/1p4p1/pb2pp1p/3n1k2/3P4/P3BN1P/1P2KPP1/8 w - - 1 27,"['f3h4',]"
1R6/6pk/2p4p/3bP2r/5B1P/2P1RqP1/P4P1Q/6K1 b - - 3 40,"['f3d1',]"
5Q2/pbp3np/1p1pq1pk/1P6/P6P/6K1/8/8 w - - 0 33,"['f8f4',]"
6k1/6pp/p1N5/1pP2bp1/5P2/8/PPP5/3K4 w - - 0 29,"['c6e7',]"
3br1kr/7p/4p1pQ/P5P1/1B5P/P6q/5R2/6K1 w - - 2 36,"['f2f8',]"
3Q4/p1p2ppp/4k3/8/5P2/4P3/Prqn2PP/3R1RK1 b - - 0 22,"['d2f3',]"
2r3k1/4brp1/2p3b1/2Pp1qNp/3B3P/2P5/PP3P1K/R2Q2R1 b - - 2 31,"['f5f4',]"
8/1p6/p1p2p2/P3b3/1PK3P1/2PB4/3k4/8 w - - 4 61,"['d3f5',]"
4r1k1/pp1qr1p1/7p/2pPR3/2P2p2/1P3P2/P2Q2PP/4R1K1 b - - 4 33,"['e7e5',]"
8/7Q/3p1kp1/1p6/2b5/2q4P/5PPK/8 w - - 0 37,"['h7h8',]"
rn5Q/4kp2/2p1p1r1/1q4p1/8/8/4NPPP/3R1K1R w - - 6 24,"['h8d8',]"
r6k/3NR1p1/4n2p/5b1P/p7/6R1/8/6K1 b - - 0 43,"['a4a3',]"
6k1/8/1R2p1pp/4P3/p1N2P2/6PK/7P/1r6 b - - 0 48,"['b1b6',]"
br1qkb1r/p1p2ppp/4pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 w k - 0 16,"['d4a4',]"
5kr1/pp3p1p/1q2pBb1/1B1p4/P7/5P2/1P5P/2Q1K1rR w K - 1 22,"['h1g1',]"
1R6/1P6/4pkp1/5p2/3P4/3KP2p/8/1r6 w - - 0 44,"['b8f8',]"
3r1rk1/1p2q1pp/5p2/8/1P1n4/6Q1/PPBB1PPP/R4RK1 b - - 0 20,"['d4e2',]"
8/2p1pk1p/Pp4p1/8/2P2P2/p2r2P1/3PR2P/3K4 w - - 0 34,"['a6a7',]"
8/1bpp2k1/1p5r/1P2P3/3P1P2/2P1n1K1/Q5P1/8 b - - 1 30,"['h6g6',]"
3r4/4kp1p/1PQ1p1p1/p3b3/1p2P2P/1P5K/6P1/8 b - - 2 36,"['d8d3',]"
8/8/2B2p1p/P4Pp1/3p2P1/1b1Pb1kP/8/4K3 w - - 1 51,"['a5a6',]"
Q1b2rk1/2q2p1p/1p2pbp1/pP6/2P5/P2B1N2/5PPP/3R1RK1 b - - 0 20,"['c8b7',]"
1k5r/pp1r1ppp/4p2n/1Nb2q2/2Pp4/6P1/PP3P1P/R1BQR1K1 w - - 3 15,"['c1f4',]"
2r3k1/p2B1pbp/1p2pnp1/n2p4/3P4/1Pr1P2P/P1QB1PP1/2R2RK1 b - - 0 19,"['c3c2',]"
8/1R6/p1pk4/2q3bp/1QP5/P7/KP6/3r4 w - - 3 45,"['b7d7',]"
5rk1/Q2B1R1p/4p1p1/3p4/3N2b1/2q5/Pr4PP/5RK1 b - - 0 23,"['c3e3',]"
2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18,"['e8e1',]"
8/4bkp1/R6P/4p3/Pp2P3/1P2r3/6P1/6K1 w - - 0 34,"['h6h7',]"
r4rk1/pbp3pp/1p1pp3/6B1/2PPp2q/3BP2P/PP3P2/R2QK1R1 b Q - 0 16,"['h4f2',]"
2KQ4/8/5b2/p1B5/P7/3k4/6p1/8 b - - 0 77,"['f6d8',]"
r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P1N1P/P1P1QPP1/1R2K2R b Kkq - 5 13,"['d8d5',]"
1rb2r1k/4q2p/p2p4/3B1p2/1pPb4/1P2NQ2/P5PP/2R2R1K b - - 2 24,"['e7e3',]"
2r3k1/p1Rb1ppp/2n1pn2/8/8/2P3P1/q4PBP/1rNQK2R w K - 3 17,"['c7c8',]"
3r1rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K w - - 1 17,"['d2b1',]"
2r3k1/4R1pp/p1p2p2/2N5/2P5/1Pb4P/P4PP1/6K1 b - - 0 25,"['c3b4',]"
1r2qrk1/6bp/2npb3/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1 w - - 1 23,"['d5c7',]"
3r2k1/1q3ppp/p3p3/Qp1r4/7P/P4P2/1PP3P1/1K1R3R w - - 0 22,"['a5d8',]"
8/6kp/4b1q1/1p6/1PpPN2Q/2P1P3/r5P1/5RK1 b - - 0 34,"['g6g2',]"
1k6/pp6/4nNp1/P3r2p/3p4/7P/3R1PPK/8 w - - 1 41,"['f6d7',]"
1r2kr2/pp3p1p/2b1p3/4N3/2P1n3/1N1B4/P3KP1P/6R1 w - - 5 22,"['e5c6',]"
r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K b - - 7 28,"['h8h2',]"
rnbqk2r/pp3ppp/5n2/4N3/2p5/2P5/P1PPQPPP/R1B1K2R w KQkq - 0 9,"['e5c6',]"
r2qkbnr/pp4pp/2p2p2/4n2b/2B1P3/2N2N2/PPP1Q1PP/R1B2RK1 b kq - 1 10,"['h5f3',]"
8/5k2/1P4RK/6P1/1r6/8/8/8 b - - 2 58,"['b4h4',]"
8/5p1k/5Ppb/2p3P1/qp6/8/KB5Q/8 w - - 5 59,"['a2b1',]"
8/2pR3p/pb4pk/8/5p1P/B6K/P1r5/6r1 w - - 4 40,"['a3f8',]"
7R/8/8/6p1/2p1p1k1/2Pb3p/P4K2/8 b - - 5 71,"['e4e3',]"
r2k2nr/p3qBb1/1p1p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1 w - - 0 19,"['a5d5',]"
8/8/3p4/4kp2/1pP3pP/2RK2P1/8/8 b - - 0 42,"['b4c3',]"
5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/3R3K b - - 3 34,"['f8f3',]"
6k1/B7/2p2pK1/3nr2p/8/1Q3PP1/P6r/8 w - - 1 32,"['b3b8',]"
2r1q1k1/8/b2b1r1p/Pp1pNpp1/P2Pn3/1RPQ3P/2B1NPP1/4R1K1 b - - 0 28,"['b5a4',]"
Q7/5qk1/p2p4/b1p1pr2/P7/6P1/4KP1R/8 w - - 4 39,"['a8h8',]"
1r5r/5pk1/4p3/3p2PP/N1nP4/n1P5/P3B3/K1R4R b - - 0 34,"['b8b1',]"
8/6pp/8/3kP3/1p1P2P1/1rpK3P/4R3/8 w - - 0 40,"['e5e6',]"
5rk1/bpp3pp/p1npb3/4p3/1P2Nr2/P1PP3q/1B1QBPR1/2K3R1 w - - 0 22,"['g2g7',]"
rnq3r1/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 w - - 3 19,"['g5h4',]"
8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/3R4 b - - 4 30,"['d3f4',]"
r2qk2r/1pp2ppp/p1pb1P2/8/3Q4/2N2b2/PPP2PPP/R1B2RK1 b kq - 0 10,"['d6h2',]"
r2q1rk1/1b3ppp/p2p1b2/1p1Pn3/1P2Q3/P1NB3P/1B3PP1/R4RK1 w - - 3 18,"['e4h7',]"
b4b1r/3k1ppp/p2p4/1p2p3/3Pq3/N3B3/PP3PPP/R2Q1RK1 b - - 0 16,"['e4g2',]"
8/5k2/7p/p1P1bPpP/Pp2P3/1P1p1K2/5B2/8 b - - 2 47,"['g5g4',]"
5rk1/5ppp/4b3/1p1pPpPP/2pP4/b1P5/rqNQKP2/2RRN3 w - - 6 24,"['c1b1',]"
3r1bnr/2p2ppp/2bk4/R7/5P2/2N5/4N1PP/1R4K1 w - - 4 22,"['b1d1',]"
5rk1/p4p1p/4p1p1/5nq1/8/5QPP/5PK1/1R1R4 b - - 7 35,"['f5h4',]"
8/2p1N1p1/3r3p/6k1/3p3P/6P1/6K1/3R4 b - - 0 42,"['g5f6',]"
8/8/8/6R1/2pk2P1/1r5P/6K1/8 b - - 1 48,"['c4c3',]"
8/2p5/2P2k1p/2K1p3/3p2P1/3B1p2/7P/8 b - - 0 42,"['f6g5',]"
1r4k1/p4p1p/6p1/3rb3/K7/2PpB3/1P1R1PPP/3R4 b - - 2 25,"['d5d6',]"
3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P2RqP/P2R2P1/6K1 b - - 2 24,"['g3e1',]"
rnbq1rk1/p4ppp/1p2p3/2p5/2QPn3/B1P1PN2/P3BPPP/R4RK1 b - - 1 11,"['c8a6',]"
3k2q1/p2p3p/1p1P4/2p5/2P2Q1K/8/P5b1/5R2 w - - 3 37,"['f4f8',]"
6k1/5pp1/2R1p2p/8/P1B5/1P4P1/1q3QKP/3r4 b - - 2 35,"['d1d2',]"
8/5P1P/1p4Kr/8/6P1/8/2p5/k7 w - - 1 63,"['g6h6',]"
